time,cov,total_execs
0.51,11,0
0.78,24,0
1.87,24,0
2.48,266,0
2.91,266,0
4.06,274,0
5.15,274,0
5.94,536,0
7.00,536,0
7.85,545,0
8.35,564,1
9.44,564,1
