time,cov,total_execs
0.33,5,0
0.60,30,0
1.02,91,0
1.18,148,0
2.31,148,0
3.40,148,0
4.61,148,0
5.69,148,0
6.77,148,0
7.84,148,0
8.93,148,0
10.12,148,0
