time,cov,total_execs
0.24,212,1
0.45,221,2
0.65,225,3
1.12,233,14
1.61,234,28
1.93,290,37
2.97,290,65
3.73,292,79
4.76,292,98
5.14,294,103
5.84,295,113
6.90,295,126
7.55,296,131
7.93,299,133
9.01,299,142
