time,cov,total_execs
0.26,456,0
1.34,456,0
1.51,633,1
2.62,633,3
2.77,635,4
3.81,635,11
4.05,636,13
5.18,636,16
5.64,638,18
6.74,638,22
7.83,638,26
8.87,638,27
9.96,638,29
